하차역,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월
수서,635413,571951,635148,634961,665793,633893,651270,661198,641660,688598,693801,702925,671906,463622,271878,366778,516854,517385,563094,507766,392803,530983,542071,353762,338121,397223,535353,546857,581979,572888,510607,519717,501261
동탄,122992,118806,126072,123414,131903,127672,128411,133516,130273,137426,138813,141479,140922,91076,52603,71065,101095,100721,111160,103884,79794,107006,110995,74633,75599,86262,111072,113576,126896,120902,109398,117123,113746
평택지제,56499,52610,59393,58909,61635,60516,61988,63179,62078,66757,66749,69904,66672,48919,33938,41300,56694,57570,62661,57440,47810,60350,63447,47051,45749,49649,66183,68155,74348,70569,66620,68430,66813
천안아산,83674,75595,90094,88893,91361,88317,88589,88485,88016,98227,99800,96784,87673,65383,41207,55898,73668,75407,80493,71153,59953,75257,77313,53737,52280,56573,79076,81865,87113,84571,79686,79128,74644
오송,76985,68188,78949,80323,82367,79227,82982,81295,78698,88728,89167,88842,81369,60924,39503,51892,69733,73809,79510,68966,58203,72235,76544,52794,49739,55368,77184,77623,81692,81684,77578,74894,69741
대전,134213,122980,140648,137200,141558,137868,138468,138145,138168,149600,153924,148518,134353,96055,54457,78426,109692,107571,111240,102624,86493,110385,117362,75940,72188,82144,115202,114231,123869,117801,109084,106116,103897
김천구미,25575,23230,24671,24412,25047,24016,25066,24755,24613,25502,25639,25072,24780,16508,8880,14337,19444,19976,22797,19949,17181,20114,20395,14735,13611,15961,20943,20955,20781,20212,20090,19811,19300
동대구,210931,204787,216955,209347,218737,210849,212660,216973,214225,226169,234167,231743,222856,127454,43564,94628,148533,158870,181388,162675,133639,167716,175757,117862,110097,134415,172165,178205,197856,180484,172486,167284,168622
신경주,25670,26042,29616,33869,33275,30786,29284,33249,30476,40497,36619,30863,29265,18021,8207,14568,21715,21977,26185,26683,18272,26049,27394,15397,14681,19344,25044,29353,30309,28694,27671,26999,25862
울산,85091,81446,87177,82601,87190,84642,85720,85726,85540,90701,92726,92363,88898,58020,31290,48053,67408,66318,72400,64242,50018,65099,68407,44912,43672,51314,65042,64840,68433,68092,64814,62393,62316
부산,248658,244554,246440,240755,263973,253565,256980,270393,241322,268284,275642,280047,260227,158574,81307,124481,171883,175869,206701,189262,129670,168532,180122,109325,108147,140304,171719,174824,200202,199880,183543,163086,163272
공주,2060,2182,2131,2472,2695,2563,2546,2709,2761,2999,3015,2572,2723,1720,1032,1454,2133,2018,2181,2122,1592,2218,2263,1602,1425,1587,2140,2371,2780,2589,2481,2557,2311
익산,53370,51864,56629,56081,61190,57027,55851,57918,59378,64259,64061,62058,58910,40670,29284,36171,47525,47256,49559,45529,37052,48083,50417,33161,31415,36101,50085,49809,54869,52112,47543,46810,45908
정읍,10648,10838,10490,10884,11644,10811,11032,11408,11593,12285,13807,11613,11852,7852,6116,7718,10034,9551,9561,9404,7861,9423,11303,7101,6499,7494,9489,9966,10981,10209,10069,10039,9906
광주송정,110437,105345,110353,110756,115906,112674,115666,115877,116935,123116,126833,127480,120330,79170,55959,70701,93901,91148,81939,84586,69074,91619,94404,65632,62583,71025,91559,96647,103249,100018,89996,87788,88080
나주,12202,11288,12154,12799,12460,12134,12539,12577,12808,12690,12785,13529,13123,9536,7385,8440,11005,10834,11126,10254,8234,10623,11042,7547,7235,8275,11493,11647,12732,12228,11351,11320,10612
목포,22140,22430,22082,22725,24255,22845,23553,26405,25114,27380,25591,25767,25889,16659,11151,14441,19839,19390,19390,20748,14886,19838,19508,14156,12738,15288,18866,20317,22361,21021,20263,20332,19269